번호,시간,회사명,종목코드,공시제목,제출인
105,2016-12-19 18:27,디에스티,033430,관리종목지정사유추가(불성실공시),코스닥시장본부
104,2016-12-15 18:15,CNT85,056730,관리종목 해제(파산 신청 사유 해소 ),코스닥시장본부
103,2016-12-15 18:09,케이엔씨글로벌,068150,관리종목지정사유일부해제(파산 신청 사유 해소 ),코스닥시장본부
102,2016-12-13 15:57,에스에스컴텍,036500,관리종목지정사유일부해제(파산신청 사유 해소),코스닥시장본부
101,2016-12-02 15:55,에이티세미콘,089530,관리종목 해제(불성실공시로 인한 관리종목 지정사유 해소),코스닥시장본부
100,2016-11-30 18:08,에스제이케이,080440,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
99,2016-11-21 17:46,에스제이케이,080440,관리종목지정사유일부해제(최근 4사업연도 연속 영업손실 발생 사유 해소 ),코스닥시장본부
98,2016-11-17 19:00,위너지스,026260,관리종목지정(불성실공시),코스닥시장본부
97,2016-11-14 19:37,CNT85,056730,관리종목지정(파산신청),코스닥시장본부
96,2016-11-14 19:34,리더스 기술투자,019570,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복),코스닥시장본부
95,2016-11-14 18:34,에스에스컴텍,036500,관리종목지정사유추가(파산신청),코스닥시장본부
94,2016-09-20 18:27,리튬포어스,073570,관리종목지정(불성실공시),코스닥시장본부
93,2016-09-20 16:45,에스에스컴텍,036500,관리종목지정사유일부해제(파산 신청 사유 해소),코스닥시장본부
92,2016-09-19 18:55,소리바다,053110,관리종목지정(불성실공시),코스닥시장본부
91,2016-09-05 18:15,엔에스브이,095300,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
90,2016-08-26 18:49,씨엘인터내셔널,037340,관리종목지정사유추가및일부해제,코스닥시장본부
89,2016-08-26 18:16,아이팩토리,053810,관리종목지정사유일부해제(반기보고서 미제출 사유 해소),코스닥시장본부
88,2016-08-26 18:16,케이엔씨글로벌,068150,관리종목지정사유추가(반기보고서 법정제출기한 익일부터 10일 이내 반기 검토(감사)보고서 미제출),코스닥시장본부
87,2016-08-26 16:48,KX하이텍,052900,관리종목 해제(불성실공시로 인한 관리종목 지정사유 해소),코스닥시장본부
86,2016-08-25 17:12,SBW생명과학,151910,관리종목지정사유추가및일부해제,코스닥시장본부
85,2016-08-18 17:14,시너지이노베이션,048870,관리종목지정사유일부해제,코스닥시장본부
84,2016-08-16 22:08,엠제이비,074150,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
83,2016-08-16 22:07,케이에스피,073010,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 )",코스닥시장본부
82,2016-08-16 22:07,디에스티,033430,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복),코스닥시장본부
81,2016-08-16 21:51,SBW생명과학,151910,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
80,2016-08-16 21:48,에스에스컴텍,036500,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
79,2016-08-16 21:48,씨엘인터내셔널,037340,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
78,2016-08-16 21:47,우전,052270,관리종목지정사유추가(자본잠식률 50%이상 등),코스닥시장본부
77,2016-08-16 21:44,엔에스브이,095300,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
76,2016-08-16 21:43,아이팩토리,053810,관리종목지정사유추가,코스닥시장본부
75,2016-08-16 21:43,케이엔씨글로벌,068150,관리종목지정사유추가,코스닥시장본부
74,2016-08-16 16:47,더라미,032860,관리종목 해제,코스닥시장본부
73,2016-08-10 18:05,와이오엠,066430,관리종목지정(불성실공시),코스닥시장본부
72,2016-08-09 18:34,에스에스컴텍,036500,관리종목지정사유추가(파산신청),코스닥시장본부
71,2016-07-22 18:48,파이오링크,170790,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
70,2016-07-22 18:21,케이에스피,073010,관리종목지정(회생절차 개시신청),코스닥시장본부
69,2016-07-05 18:45,케이엔씨글로벌,068150,관리종목지정(파산신청),코스닥시장본부
68,2016-06-30 18:38,비엔씨컴퍼니,058370,관리종목지정사유일부해제(파산 신청 사유 해소),코스닥시장본부
67,2016-06-27 17:45,비엔씨컴퍼니,058370,관리종목지정사유추가(파산신청),코스닥시장본부
66,2016-06-21 18:26,바른손,018700,관리종목 해제,코스닥시장본부
65,2016-06-21 17:50,리더스 기술투자,019570,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
64,2016-06-14 18:29,피엘에이,082390,관리종목지정사유추가(상장폐지 사유 발생 ),코스닥시장본부
63,2016-06-14 15:51,MIT,038340,관리종목지정사유일부해제,코스닥시장본부
62,2016-06-01 15:54,엔에스브이,095300,관리종목지정사유일부해제(분기보고서 미제출 사유 해소 ),코스닥시장본부
61,2016-05-30 19:17,엔에스브이,095300,관리종목지정사유추가(분기보고서 미제출 ),코스닥시장본부
60,2016-05-26 18:19,케이엔씨글로벌,068150,관리종목 해제(파산 신청 사유 해소),코스닥시장본부
59,2016-05-23 18:47,시너지이노베이션,048870,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
58,2016-04-18 18:58,SBW생명과학,151910,관리종목지정(회생절차 개시신청),코스닥시장본부
57,2016-04-12 18:26,케이엔씨글로벌,068150,관리종목지정(파산신청),코스닥시장본부
56,2016-04-11 18:49,현진소재,053660,관리종목지정사유일부해제(반기보고서 법정제출기한 익일부터 10일 이내 반기 검토(감사)보고서 미제출 사유 해소),코스닥시장본부
55,2016-04-11 18:46,THE E&M,089230,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복),코스닥시장본부
54,2016-04-11 18:39,아이디에스,078780,관리종목지정사유일부해제(사업보고서 미제출 사유 해소),코스닥시장본부
53,2016-04-11 18:31,신라섬유,001000,관리종목 해제(주식 분산기준 미달사유 해소 ),코스닥시장본부
52,2016-04-08 18:54,제이앤유글로벌,086200,관리종목지정사유일부해제(사업보고서 미제출 사유 해소),코스닥시장본부
51,2016-04-05 17:11,더라미,032860,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
50,2016-03-31 10:46,동신건설,025950,관리종목 해제(거래실적부진 사유 해소),코스닥시장본부
49,2016-03-30 22:46,파이오링크,170790,관리종목지정사유추가(재무제표 미승인),코스닥시장본부
48,2016-03-30 22:46,피에이치씨,057880,관리종목지정사유추가(정기주주총회 미개최),코스닥시장본부
47,2016-03-30 22:46,제이앤유글로벌,086200,관리종목지정사유추가(사업보고서 미제출 등),코스닥시장본부
46,2016-03-30 22:46,아이디에스,078780,관리종목지정사유추가(사업보고서 미제출 등),코스닥시장본부
45,2016-03-30 22:38,시너지이노베이션,048870,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
44,2016-03-30 22:38,시너지이노베이션,048870,관리종목지정사유추가(상장폐지사유 발생 등),코스닥시장본부
43,2016-03-30 21:01,더라미,032860,관리종목지정사유일부해제(정기주주총회 미개최 또는 재무제표 미승인 사유해소),코스닥시장본부
42,2016-03-30 20:55,엠제이비,074150,관리종목지정사유추가(정기주주총회 미개최 또는 재무제표 미승인),코스닥시장본부
41,2016-03-30 20:55,THE E&M,089230,관리종목지정사유추가(사업보고서 미제출 등),코스닥시장본부
40,2016-03-30 20:54,현진소재,053660,관리종목지정사유추가(사업보고서 미제출 등),코스닥시장본부
39,2016-03-30 15:39,디에스티,033430,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
38,2016-03-29 18:18,우전,052270,관리종목지정사유일부해제,코스닥시장본부
37,2016-03-29 18:12,DGP,060900,관리종목지정사유일부해제,코스닥시장본부
36,2016-03-28 14:32,파이오링크,170790,관리종목지정(상장폐지사유 발생),코스닥시장본부
35,2016-03-25 16:25,CS,065770,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
34,2016-03-22 23:14,플렉스컴,065270,관리종목지정(상장폐지사유 발생 등),코스닥시장본부
33,2016-03-22 23:12,위메이드맥스,101730,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
32,2016-03-22 23:12,피엘에이,082390,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
31,2016-03-22 23:09,바른손이앤에이,035620,관리종목 해제(매출액 30억 미달 사유 해소),코스닥시장본부
30,2016-03-22 23:09,씨엘인터내셔널,037340,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
29,2016-03-22 23:08,미래SCI,028040,관리종목 해제(자본잠식률 50% 미만으로 회복 등),코스닥시장본부
28,2016-03-22 23:07,에스에스컴텍,036500,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
27,2016-03-22 23:07,제이앤유글로벌,086200,관리종목지정(상장폐지사유 발생),코스닥시장본부
26,2016-03-22 23:01,비엔씨컴퍼니,058370,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 ),코스닥시장본부
