번호,시간,회사명,종목코드,공시제목,제출인
171,2020-07-13 18:19,솔고바이오,043100,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
170,2020-07-10 17:20,애머릿지,900100,관리종목지정사유추가(파산신청),코스닥시장본부
169,2020-07-09 17:37,이엠네트웍스,087730,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
168,2020-07-09 17:12,휴엠앤씨,263920,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
167,2020-07-06 17:58,신한제4호스팩,277480,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
166,2020-07-03 16:24,케스피온,079190,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
165,2020-06-26 18:08,에스앤씨엔진그룹,900080,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
164,2020-06-26 17:59,한프,066110,관리종목지정사유일부해제(분기보고서 미제출 사유 해소),코스닥시장본부
163,2020-06-22 17:27,한화에이스스팩4호,279410,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
162,2020-06-19 18:06,협진,138360,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
161,2020-06-19 17:46,신라젠,215600,관리종목지정(상장적격성 실질심사 대상 결정 ),코스닥시장본부
160,2020-06-15 18:02,바른손,018700,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
159,2020-06-12 17:57,한국제6호스팩,281410,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
158,2020-06-12 17:47,지유온,111820,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
157,2020-06-12 16:57,화진,134780,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
156,2020-06-09 18:19,참존글로벌,158310,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
155,2020-06-09 16:52,아이엠텍,226350,관리종목지정사유추가(회생절차개시신청),코스닥시장본부
154,2020-06-05 18:59,이매진아시아,036260,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
153,2020-06-05 18:34,이엠앤아이,083470,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
152,2020-06-05 18:01,IBKS제7호스팩,276920,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
151,2020-06-05 18:00,커머스마이너,223310,관리종목지정(상장적격성 실질심사 대상 결정 ),코스닥시장본부
150,2020-05-25 18:00,세토피아,222810,관리종목지정사유일부해제(사업보고서 미제출 사유 해소 ),코스닥시장본부
149,2020-05-22 20:04,세토피아,222810,관리종목지정사유추가및일부해제(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 ),코스닥시장본부
148,2020-05-22 19:23,애머릿지,900100,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
147,2020-05-22 18:32,코썬바이오,204990,관리종목지정사유일부해제(분기보고서 미제출 사유 해소),코스닥시장본부
146,2020-05-22 18:23,행남사,008800,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
145,2020-05-21 19:07,DXVX,180400,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
144,2020-05-20 18:08,한화에이스스팩4호,279410,관리종목지정(SPAC 상장예비심사청구서 미제출 등 ),코스닥시장본부
143,2020-05-19 18:32,코썬바이오,204990,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
142,2020-05-19 17:52,퀀타피아,078940,관리종목지정사유일부해제(상장유지 결정 ),코스닥시장본부
141,2020-05-15 19:40,코썬바이오,204990,관리종목지정사유추가(분기보고서 미제출),코스닥시장본부
140,2020-05-15 19:39,한프,066110,관리종목지정사유추가(분기보고서 미제출),코스닥시장본부
139,2020-05-15 19:30,럭슬,033600,관리종목지정사유추가(분기보고서 미제출),코스닥시장본부
138,2020-05-15 18:42,셀바스AI,108860,관리종목 해제(상장유지 결정),코스닥시장본부
137,2020-05-15 18:33,세토피아,222810,관리종목지정사유추가(사업보고서 미제출),코스닥시장본부
