번호,시간,회사명,종목코드,공시제목,제출인
141,2013-12-31 17:31,태산엘시디,036210,관리종목지정사유추가(회생절차 개시신청 등),코스닥시장본부
140,2013-12-31 16:56,쌍용건설,012650,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
139,2013-12-20 18:56,테라리소스,053320,관리종목지정(상장폐지사유 발생),코스닥시장본부
138,2013-12-19 18:19,엠텍비젼,074000,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소 )",코스닥시장본부
137,2013-11-29 19:01,글로본,019660,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복 ),코스닥시장본부
136,2013-11-18 18:26,엠텍비젼,074000,관리종목지정사유일부해제(상장폐지사유 해소 ),코스닥시장본부
135,2013-11-14 18:36,한국테크놀로지,053590,관리종목 해제(종류주식의 시가총액 요건 미달(5억원 미달 30일 계속) 사유해소),코스닥시장본부
134,2013-11-11 17:54,이매진아시아,036260,관리종목 해제(파산 신청 사유 해소),코스닥시장본부
133,2013-11-07 18:41,이매진아시아,036260,관리종목지정(파산신청),코스닥시장본부
132,2013-10-31 18:18,엠텍비젼,074000,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
131,2013-10-22 18:30,엘컴텍,037950,관리종목지정사유일부해제,코스닥시장본부
130,2013-10-01 16:49,삼표시멘트,038500,관리종목지정(회생절차 개시신청),코스닥시장본부
129,2013-09-30 18:42,HLB,028300,관리종목지정사유추가(종류주식(에이치엘비1우선주)의 거래량 요건 미달),코스닥시장본부
128,2013-09-23 17:45,한진피앤씨,061460,관리종목지정(불성실공시),코스닥시장본부
127,2013-09-23 15:13,와이오엠,066430,관리종목 해제,코스닥시장본부
126,2013-09-11 18:45,엘컴텍,037950,관리종목지정사유일부해제,코스닥시장본부
125,2013-09-09 18:25,쌍용건설,012650,관리종목지정사유일부해제,코스닥시장본부
124,2013-09-03 13:51,메디콕스,054180,관리종목 해제,코스닥시장본부
123,2013-08-29 22:39,엘컴텍,037950,관리종목지정사유추가(자기자본 10억원 미만),코스닥시장본부
122,2013-08-29 21:01,위너지스,026260,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복),코스닥시장본부
121,2013-08-29 20:36,엠텍비젼,074000,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
120,2013-08-29 20:35,아라온테크,041060,"관리종목지정사유추가(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정)",코스닥시장본부
119,2013-08-29 20:35,렉스엘이앤지,004790,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복 등),코스닥시장본부
118,2013-08-29 20:10,위다스,056810,관리종목지정사유추가(반기보고서 미제출),코스닥시장본부
117,2013-08-29 20:09,예당,049000,관리종목지정사유추가,코스닥시장본부
116,2013-08-29 20:06,오리엔탈정공,014940,관리종목지정사유일부해제,코스닥시장본부
115,2013-08-29 20:05,와이즈파워,040670,관리종목 해제,코스닥시장본부
114,2013-08-28 18:11,아이에이,038880,관리종목지정사유추가(자본잠식률 50% 이상),코스닥시장본부
113,2013-08-28 18:09,태산엘시디,036210,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
112,2013-08-14 18:11,디브이에스,046400,관리종목지정사유추가(자본잠식률 50% 이상),코스닥시장본부
111,2013-08-13 17:56,네이처셀,007390,관리종목지정사유추가(자본잠식률 50% 이상),코스닥시장본부
110,2013-08-09 18:04,HLB,028300,관리종목지정(종류주식의 시가총액 요건 미달(5억원 미달 30일 계속)),코스닥시장본부
109,2013-08-09 18:03,한국테크놀로지,053590,관리종목지정(종류주식의 시가총액 요건 미달(5억원 미달 30일 계속)),코스닥시장본부
108,2013-07-26 18:10,예당,049000,관리종목지정(상장폐지사유 발생),코스닥시장본부
107,2013-07-25 18:42,와이즈파워,040670,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
106,2013-07-25 18:41,케이피엠테크,042040,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
105,2013-07-25 15:33,알서포트,131370,관리종목 해제(SPAC 상장예비심사청구서 미제출 등 사유 해소),코스닥시장본부
104,2013-07-16 18:30,IBKS스팩1호,126680,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
103,2013-07-16 17:50,와이즈파워,040670,관리종목지정사유추가(자본잠식률 50% 이상),코스닥시장본부
102,2013-07-09 17:33,케이피엠테크,042040,관리종목지정사유추가,코스닥시장본부
101,2013-07-03 18:45,디브이에스,046400,관리종목지정사유일부해제,코스닥시장본부
100,2013-07-02 18:04,동부티에스블랙펄스팩,128910,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
99,2013-06-27 17:57,알서포트,131370,관리종목지정(SPAC 상장예비심사청구서 미제출 ),코스닥시장본부
98,2013-06-25 17:20,옵투스제약,131030,관리종목 해제(SPAC 상장예비심사청구서 미제출 등 사유 해소 ),코스닥시장본부
97,2013-06-20 19:45,글로본,019660,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
96,2013-06-18 13:34,디에스티,033430,관리종목 해제(파산 신청 사유 해소 ),코스닥시장본부
95,2013-06-14 18:05,IBKS스팩1호,126680,관리종목지정(SPAC 상장예비심사청구서 미제출 ),코스닥시장본부
94,2013-05-31 18:21,렉스엘이앤지,004790,관리종목지정사유추가(시가총액 40억원 미달 30일 연속),코스닥시장본부
93,2013-05-31 18:01,동부티에스블랙펄스팩,128910,관리종목지정(SPAC 상장예비심사청구서 미제출),코스닥시장본부
92,2013-05-30 17:07,위메이드플레이,123420,관리종목 해제(SPAC 상장예비심사청구서 미제출 등 사유 해소 ),코스닥시장본부
91,2013-05-29 15:59,디에스티,033430,관리종목지정(파산신청),코스닥시장본부
90,2013-05-24 17:58,옵투스제약,131030,관리종목지정(SPAC 상장예비심사청구서 미제출),코스닥시장본부
89,2013-05-21 18:07,부국퓨쳐스타즈스팩,123300,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
88,2013-05-16 18:17,렉스엘이앤지,004790,관리종목지정사유추가(불성실공시),코스닥시장본부
87,2013-05-13 18:03,잘만테크,090120,관리종목 해제,코스닥시장본부
86,2013-05-09 18:10,유비벨록스,089850,관리종목 해제,코스닥시장본부
85,2013-05-03 18:02,위메이드플레이,123420,관리종목지정(SPAC 상장예비심사청구서 미제출),코스닥시장본부
84,2013-04-25 18:32,에스비엠,037630,관리종목지정사유추가(불성실공시),코스닥시장본부
83,2013-04-25 18:15,네이처셀,007390,관리종목지정(불성실공시),코스닥시장본부
82,2013-04-19 18:05,부국퓨쳐스타즈스팩,123300,관리종목지정(SPAC 상장예비심사청구서 미제출),코스닥시장본부
81,2013-04-11 18:22,엘컴텍,037950,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
80,2013-04-11 18:21,엠텍비젼,074000,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
79,2013-04-11 18:20,마이스코,088700,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
78,2013-04-10 18:32,해피드림,065180,관리종목 해제(상장폐지 사유 해소 ),코스닥시장본부
77,2013-04-05 18:20,오리엔탈정공,014940,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
76,2013-04-05 16:39,한일진공,123840,관리종목 해제(SPAC 상장예비심사청구서 미제출 등 사유 해소 ),코스닥시장본부
75,2013-04-04 10:50,에스비엠,037630,관리종목지정사유추가(회생절차 개시신청 ),코스닥시장본부
74,2013-04-03 20:10,유일엔시스,038720,관리종목지정사유일부해제,코스닥시장본부
73,2013-04-01 22:52,이디디컴퍼니,052650,관리종목지정사유추가,코스닥시장본부
72,2013-04-01 22:52,휴먼텍코리아,066060,관리종목지정사유추가,코스닥시장본부
71,2013-04-01 22:52,삼우이엠씨,026250,관리종목지정사유추가,코스닥시장본부
70,2013-04-01 22:23,유일엔시스,038720,관리종목지정사유추가(재무제표 미승인),코스닥시장본부
69,2013-04-01 22:17,우경,025920,관리종목지정사유추가및일부해제,코스닥시장본부
68,2013-04-01 22:12,유비벨록스,089850,관리종목지정(사외이사수 미달),코스닥시장본부
67,2013-04-01 22:12,프리젠,060910,관리종목지정사유추가(사업보고서 미제출),코스닥시장본부
66,2013-04-01 22:12,지앤에스티,036920,관리종목지정사유추가(재무제표 미승인),코스닥시장본부
65,2013-04-01 22:11,엠텍비젼,074000,관리종목지정사유추가(재무제표 미승인),코스닥시장본부
64,2013-04-01 22:03,에스비엠,037630,관리종목지정사유추가(재무제표 미승인),코스닥시장본부
63,2013-04-01 21:56,와이즈파워,040670,관리종목지정(상장폐지사유 발생),코스닥시장본부
62,2013-04-01 21:30,자유투어,046840,관리종목지정사유추가(재무제표 미승인),코스닥시장본부
61,2013-04-01 17:20,잘만테크,090120,관리종목지정(사외이사수 미달),코스닥시장본부
60,2013-03-28 19:07,휴먼텍코리아,066060,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
59,2013-03-28 08:58,모린스,110310,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 ),코스닥시장본부
58,2013-03-28 08:25,엘컴텍,037950,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
57,2013-03-27 11:48,에스비엠,037630,관리종목지정(상장폐지사유 발생 ),코스닥시장본부
56,2013-03-25 19:03,룩손에너지,033550,관리종목지정(상장폐지사유 발생),코스닥시장본부
55,2013-03-25 19:02,케이피엠테크,042040,관리종목지정(상장폐지사유 발생),코스닥시장본부
54,2013-03-25 17:54,프리젠,060910,관리종목지정사유일부해제,코스닥시장본부
53,2013-03-25 15:39,유에이블,071530,관리종목지정사유추가(자본잠식률 50% 이상 등),코스닥시장본부
52,2013-03-22 19:07,유일엔시스,038720,관리종목지정사유추가(회생절차 개시신청),코스닥시장본부
51,2013-03-22 18:30,지앤에스티,036920,관리종목지정사유추가및일부해제(상장폐지사유 발생),코스닥시장본부
50,2013-03-22 18:28,지아이바이오,035450,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
49,2013-03-21 22:25,마이스코,088700,관리종목지정사유추가(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
48,2013-03-21 22:23,아이팩토리,053810,관리종목지정사유추가,코스닥시장본부
47,2013-03-21 22:22,유일엔시스,038720,관리종목지정사유추가,코스닥시장본부
46,2013-03-21 22:22,네오퍼플,028090,관리종목지정(상장폐지사유 발생 등),코스닥시장본부
45,2013-03-21 22:22,이디디컴퍼니,052650,관리종목지정사유추가,코스닥시장본부
44,2013-03-21 22:21,상지카일룸,042940,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
43,2013-03-21 22:21,룽투코리아,060240,관리종목 해제,코스닥시장본부
42,2013-03-21 22:21,디브이에스,046400,관리종목지정사유추가및일부해제,코스닥시장본부
