번호,시간,회사명,종목코드,공시제목,제출인
34,2017-03-23 20:58,에스제이케이,080440,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
33,2017-03-22 20:41,에스에이치엔엘,050320,관리종목지정(최근 4사업연도 연속 영업손실 발생 ),코스닥시장본부
32,2017-03-22 20:28,시너지이노베이션,048870,관리종목 해제,코스닥시장본부
31,2017-03-22 19:52,케이바이오,038530,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
30,2017-03-22 19:26,엠벤처투자,019590,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
29,2017-03-22 18:49,엔에스브이,095300,관리종목지정사유추가,코스닥시장본부
28,2017-03-22 18:12,THE E&M,089230,관리종목지정사유추가및일부해제,코스닥시장본부
27,2017-03-22 11:42,비엔씨컴퍼니,058370,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
26,2017-03-21 20:05,우전,052270,관리종목지정사유추가,코스닥시장본부
25,2017-03-21 18:15,골드앤에스,035290,관리종목 해제,코스닥시장본부
24,2017-03-16 21:30,코세스,089890,관리종목지정사유추가및일부해제,코스닥시장본부
23,2017-03-16 21:30,피에이치씨,057880,관리종목지정사유일부해제(최근 4사업연도 연속 영업손실 발생 사유 해소 ),코스닥시장본부
22,2017-03-16 21:28,오리엔탈정공,014940,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
21,2017-03-16 21:27,위메이드맥스,101730,관리종목 해제(최근 4사업연도 연속 영업손실 발생 사유 해소),코스닥시장본부
20,2017-03-16 21:26,아이앤씨,052860,관리종목 해제(최근 4사업연도 연속 영업손실 발생 사유 해소 ),코스닥시장본부
19,2017-03-16 20:25,동일철강,023790,관리종목지정사유일부해제(최근 4사업연도 연속 영업손실 발생 사유 해소 ),코스닥시장본부
18,2017-03-16 20:24,코데즈컴바인,047770,관리종목 해제,코스닥시장본부
17,2017-03-15 19:21,리튬포어스,073570,관리종목지정사유추가(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 ),코스닥시장본부
16,2017-03-15 19:04,씨엔플러스,115530,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생 등),코스닥시장본부
15,2017-03-15 18:30,한국정밀기계,101680,관리종목지정(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
14,2017-03-15 18:07,제넨바이오,072520,관리종목지정사유추가(최근 4사업연도 연속 영업손실 발생),코스닥시장본부
13,2017-03-15 17:02,MIT,038340,관리종목 해제,코스닥시장본부
12,2017-03-09 19:13,피앤텔,054340,관리종목 해제,코스닥시장본부
11,2017-03-08 18:47,에이디칩스,054630,관리종목 해제,코스닥시장본부
10,2017-03-06 18:53,CS,065770,관리종목 해제,코스닥시장본부
9,2017-02-27 18:03,네오리진,094860,관리종목 해제,코스닥시장본부
8,2017-02-22 18:04,케이바이오,038530,관리종목 해제(파산 신청 사유 해소),코스닥시장본부
7,2017-02-17 17:19,DGP,060900,관리종목 해제,코스닥시장본부
6,2017-02-15 18:42,SBW생명과학,151910,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
5,2017-02-13 19:09,프리젠,060910,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
4,2017-01-18 18:46,케이바이오,038530,관리종목지정(파산신청),코스닥시장본부
3,2017-01-18 18:19,디에스티,033430,관리종목지정사유추가(상장폐지 사유 발생 ),코스닥시장본부
2,2017-01-18 18:19,케이엔씨글로벌,068150,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
1,2017-01-13 14:00,MIT,038340,관리종목지정사유추가,코스닥시장본부
