번호,시간,회사명,종목코드,공시제목,제출인
25,2019-03-15 19:14,웰킵스하이텍,043590,관리종목지정(상장폐지사유 발생),코스닥시장본부
24,2019-03-15 18:25,피앤텔,054340,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소 )",코스닥시장본부
23,2019-03-15 18:04,쌍용정보통신,010280,관리종목 해제(최근 4사업연도 연속 영업손실 발생 사유 해소),코스닥시장본부
22,2019-03-14 18:46,테라사이언스,073640,관리종목 해제,코스닥시장본부
21,2019-03-14 18:36,티사이언티픽,057680,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
20,2019-03-13 17:59,와이오엠,066430,관리종목 해제,코스닥시장본부
19,2019-03-08 18:08,테라셈,182690,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
18,2019-03-07 18:27,바이오빌,065940,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
17,2019-03-06 18:25,노블엠앤비,106520,관리종목지정(파산신청),코스닥시장본부
16,2019-03-05 19:49,이엠앤아이,083470,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
15,2019-02-27 19:39,에프티이앤이,065160,관리종목지정사유추가(회생절차개시신청),코스닥시장본부
14,2019-02-22 18:41,바이오빌,065940,관리종목지정사유추가(파산신청),코스닥시장본부
13,2019-02-22 18:16,차바이오텍,085660,관리종목 해제(연구개발기업 상장관리 특례적용),코스닥시장본부
12,2019-02-20 17:32,이엠앤아이,083470,관리종목지정(회생절차 개시신청),코스닥시장본부
11,2019-02-15 13:52,바이오빌,065940,관리종목지정(회생절차 개시신청),코스닥시장본부
10,2019-02-13 18:20,상상인인더스트리,101000,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
9,2019-02-11 19:18,아이톡시,052770,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
8,2019-02-01 17:23,하이소닉,106080,관리종목지정사유추가(회생절차 개시신청 ),코스닥시장본부
7,2019-01-28 18:30,하이소닉,106080,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
6,2019-01-28 18:24,테크엘,064520,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
5,2019-01-18 18:02,지유온,111820,관리종목지정사유일부해제(파산 신청 사유 해소),코스닥시장본부
4,2019-01-16 18:32,한국4호스팩,240540,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
3,2019-01-16 16:15,에스마크,030270,관리종목지정사유일부해제(불성실공시로 인한 관리종목 지정사유 해소),코스닥시장본부
2,2019-01-08 18:56,에이치디,102210,관리종목지정(상장적격성 실질심사 대상 결정 ),코스닥시장본부
1,2019-01-08 17:48,지유온,111820,관리종목지정사유추가(파산신청),코스닥시장본부
