번호,시간,회사명,종목코드,공시제목,제출인
41,2013-03-21 22:20,엠텍비젼,074000,관리종목지정사유추가,코스닥시장본부
40,2013-03-21 22:20,쌍용건설,012650,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
39,2013-03-21 22:20,에듀언스,009010,관리종목지정사유추가,코스닥시장본부
38,2013-03-21 22:18,자유투어,046840,관리종목지정(상장폐지사유 발생 등),코스닥시장본부
37,2013-03-21 22:18,씨앤케이인터,039530,관리종목 해제,코스닥시장본부
36,2013-03-21 22:18,위너지스,026260,관리종목지정(자본잠식률 50% 이상 등),코스닥시장본부
35,2013-03-21 22:17,디에스,051710,관리종목지정(상장폐지사유 발생 등),코스닥시장본부
34,2013-03-21 22:17,쎄니트,037760,관리종목 해제,코스닥시장본부
33,2013-03-21 22:17,위다스,056810,관리종목지정(상장폐지 사유 발생 외 3건),코스닥시장본부
32,2013-03-21 22:06,렉스엘이앤지,004790,관리종목지정(자본잠식 50%이상 등),코스닥시장본부
31,2013-03-21 21:55,아라온테크,041060,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
30,2013-03-20 19:23,티에스넥스젠,043220,관리종목 해제,코스닥시장본부
29,2013-03-20 19:22,오리엔트정공,065500,관리종목 해제,코스닥시장본부
28,2013-03-19 19:04,소니드,060230,관리종목 해제,코스닥시장본부
27,2013-03-19 18:59,아이에이,038880,관리종목지정(최근3사업연도중 2사업연도 자기자본 50%초과 법인세비용차감전계속사업손실 발생),코스닥시장본부
26,2013-03-18 18:09,한국스팩1호,123290,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
25,2013-03-18 18:09,에스비아이앤솔로몬스,123910,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
24,2013-03-18 18:06,대신증권그로쓰스팩,123550,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
23,2013-03-15 18:45,마이스코,088700,관리종목지정(회생절차 개시신청),코스닥시장본부
22,2013-03-15 18:37,아큐텍,013780,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
21,2013-03-15 18:00,한일진공,123840,관리종목지정(SPAC 상장예비심사청구서 미제출),코스닥시장본부
20,2013-03-14 20:16,엔터미디어,068420,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
19,2013-03-13 18:58,오리엔탈정공,014940,관리종목지정사유추가,코스닥시장본부
18,2013-03-11 18:34,라온시큐어,042510,관리종목 해제,코스닥시장본부
17,2013-03-08 18:44,유에이블,071530,관리종목지정(상장폐지사유 발생),코스닥시장본부
16,2013-03-08 18:05,케이엔씨글로벌,068150,관리종목 해제,코스닥시장본부
15,2013-03-07 19:04,녹십자셀,031390,관리종목 해제,코스닥시장본부
14,2013-03-07 19:03,제넥신,095700,관리종목 해제,코스닥시장본부
13,2013-02-22 18:55,HLB이노베이션,024850,관리종목 해제,코스닥시장본부
12,2013-02-20 18:43,엔터미디어,068420,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
11,2013-02-18 18:00,한국스팩1호,123290,관리종목지정(SPAC 상장예비심사청구서 미제출),코스닥시장본부
10,2013-02-15 18:22,에스비아이앤솔로몬스,123910,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
9,2013-02-15 18:21,대신증권그로쓰스팩,123550,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
8,2013-02-14 18:18,와이오엠,066430,관리종목지정사유일부해제(자본잠식률 50% 미만으로 회복 ),코스닥시장본부
7,2013-02-01 18:15,한화SV스팩1호,124050,관리종목지정사유추가,코스닥시장본부
6,2013-01-30 16:44,엠텍비젼,074000,관리종목지정(회생절차 개시신청),코스닥시장본부
5,2013-01-14 18:22,오리엔탈정공,014940,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
4,2013-01-14 17:46,에듀언스,009010,관리종목지정사유추가(시가총액 40억원 미달 30일 연속),코스닥시장본부
3,2013-01-10 18:35,아큐텍,013780,관리종목지정(불성실공시),코스닥시장본부
2,2013-01-09 18:47,트라이써클,034010,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
1,2013-01-07 18:05,히든챔피언스팩1호,123160,관리종목지정사유추가,코스닥시장본부
