번호,시간,회사명,종목코드,공시제목,제출인
181,2018-12-31 14:52,휴림네트웍스,192410,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
180,2018-12-14 18:46,엠벤처투자,019590,"관리종목지정사유일부해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
179,2018-12-14 18:05,한국4호스팩,240540,관리종목지정(SPAC 상장예비심사청구서 미제출 등),코스닥시장본부
178,2018-11-30 18:03,차이나하오란,900090,관리종목지정사유추가(분기보고서 미제출),코스닥시장본부
177,2018-11-29 17:09,이엠앤아이,083470,관리종목 해제(파산 신청 사유 해소 ),코스닥시장본부
176,2018-11-23 19:04,한솔인티큐브,070590,"관리종목 해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
175,2018-11-22 18:55,화진,134780,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
174,2018-11-22 18:05,이엠앤아이,083470,관리종목지정(파산신청),코스닥시장본부
173,2018-11-21 18:18,이엠앤아이,083470,관리종목 해제(파산 신청 사유 해소 ),코스닥시장본부
172,2018-11-21 17:54,피앤텔,054340,관리종목지정사유추가(상장적격성 실질심사 대상 결정 ),코스닥시장본부
171,2018-11-07 17:54,수성샐바시온,084180,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
170,2018-11-02 18:05,이엠앤아이,083470,관리종목지정(파산신청),코스닥시장본부
169,2018-11-01 18:11,SBW생명과학,151910,관리종목 해제(주식분산기준미달 사유 해소),코스닥시장본부
168,2018-10-31 17:13,이엠앤아이,083470,관리종목 해제(파산 신청 사유 해소),코스닥시장본부
167,2018-10-30 18:02,에이스침대,003800,관리종목 해제(주식분산기준미달 사유 해소),코스닥시장본부
166,2018-10-24 17:51,이엠앤아이,083470,관리종목지정(파산신청),코스닥시장본부
165,2018-10-22 16:00,엠벤처투자,019590,관리종목지정사유추가(상장적격성 실질심사 대상 결정),코스닥시장본부
164,2018-10-19 18:22,지유온,111820,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
163,2018-10-17 18:34,지유온,111820,관리종목 해제(파산 신청 사유 해소),코스닥시장본부
162,2018-10-16 18:41,케스피온,079190,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
161,2018-10-12 17:53,수성샐바시온,084180,"관리종목 해제(반기검토(감사)의견 부적정, 의견거절 또는 범위제한 한정 사유 해소)",코스닥시장본부
160,2018-10-08 20:36,썬텍,122800,관리종목지정(상장폐지사유 발생),코스닥시장본부
159,2018-09-27 18:52,화진,134780,관리종목지정(상장적격성 실질심사 대상 결정),코스닥시장본부
158,2018-09-27 18:51,케이비제9호스팩,232270,관리종목지정사유추가(상장폐지사유 발생),코스닥시장본부
157,2018-09-27 18:51,하이에이아이1호스팩,235010,관리종목지정사유추가(상장폐지사유 발생 ),코스닥시장본부
156,2018-09-27 10:21,엠벤처투자,019590,관리종목지정사유추가및일부해제,코스닥시장본부
155,2018-09-21 16:38,퀀타피아,078940,관리종목지정사유일부해제(불성실공시로 인한 관리종목 지정사유 해소 ),코스닥시장본부
154,2018-09-21 16:08,지유온,111820,관리종목지정(파산신청),코스닥시장본부
153,2018-09-20 20:09,C&S자산관리,032040,관리종목지정사유일부해제(회생절차 개시신청 사유 해소),코스닥시장본부
152,2018-09-19 18:48,디에스케이,109740,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
151,2018-09-19 18:45,수성샐바시온,084180,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
150,2018-09-19 18:44,한솔인티큐브,070590,관리종목지정사유일부해제(상장폐지 사유 해소),코스닥시장본부
149,2018-09-10 18:08,차이나하오란,900090,관리종목지정사유추가(반기보고서 법정제출기한 익일부터 10일 이내 반기 검토(감사)보고서 미제출),코스닥시장본부
148,2018-09-06 18:01,현진소재,053660,관리종목지정사유일부해제(불성실공시로 인한 관리종목 지정사유 해소),코스닥시장본부
147,2018-08-29 18:09,넥스지,081970,관리종목지정사유추가(반기검토 의견거절),코스닥시장본부
